project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (minutes)
spring-projects/spring-security:spring-security-data,T,8.5,0,13,13,0,0,57
spring-projects/spring-security:spring-security-dependencies,T,8.5,no test,,,,,57
spring-projects/spring-security:spring-security-docs,T,8.5,no test,,,,,57
spring-projects/spring-security:spring-security-itest-context,T,8.5,no test,,,,,58
spring-projects/spring-security:spring-security-itest-ldap-embedded-apacheds-default,T,8.5,no test,,,,,58
spring-projects/spring-security:spring-security-itest-ldap-embedded-mode-apacheds,T,8.5,no test,,,,,58
spring-projects/spring-security:spring-security-itest-ldap-embedded-mode-unboundid,T,8.5,no test,,,,,58
spring-projects/spring-security:spring-security-itest-ldap-embedded-none,T,8.5,no test,,,,,58
spring-projects/spring-security:spring-security-itest-ldap-embedded-unboundid-default,T,8.5,no test,,,,,59
spring-projects/spring-security:spring-security-itest-web,T,8.5,no test,,,,,59
spring-projects/spring-security:spring-security-ldap,T,8.5,0,93,93,0,0,60
spring-projects/spring-security:spring-security-messaging,T,8.5,0,182,182,0,0,61
spring-projects/spring-security:spring-security-oauth2-client,T,8.5,0,1186,1185,0,1,62
spring-projects/spring-security:spring-security-oauth2-core,T,8.5,0,253,253,0,0,63
spring-projects/spring-security:spring-security-oauth2-jose,T,8.5,0,244,244,0,0,64
spring-projects/spring-security:spring-security-oauth2-resource-server,T,8.5,0,325,325,0,0,65
spring-projects/spring-security:spring-security-rsocket,T,8.5,0,57,57,0,0,66
spring-projects/spring-security:spring-security-saml2-service-provider,T,8.5,0,325,325,0,0,67
spring-projects/spring-security:spring-security-taglibs,T,8.5,0,38,38,0,0,67
spring-projects/spring-security:spring-security-test,T,8.5,0,260,259,0,1,69
spring-projects/spring-security:spring-security-web,T,8.5,0,2256,2254,0,2,72
ethereum-lists/chains:httpsloader,T,8.0.2,no test,,,,,2
ethereum-lists/chains:model,T,8.0.2,no test,,,,,2
ethereum-lists/chains:processor,T,8.0.2,0,37,37,0,0,3
spring-projects/spring-petclinic,T,8.4,0,47,47,0,0,9
h2oai/h2o-3:h2o-admissibleml,error with test,7.2,error,,,,,9
h2oai/h2o-3:h2o-algos,error with test,7.2,error,,,,,9
h2oai/h2o-3:h2o-app,error with test,7.2,no test,,,,,9
h2oai/h2o-3:h2o-assemblies,error with test,7.2,no test,,,,,9
h2oai/h2o-3:h2o-automl,error with test,7.2,error,,,,,10
h2oai/h2o-3:h2o-avro-parser,error with test,7.2,error,,,,,10
h2oai/h2o-3:h2o-bindings,error with test,7.2,error,,,,,10
h2oai/h2o-3:h2o-clustering,error with test,7.2,0,3,3,0,0,11
h2oai/h2o-3:h2o-core,error with test,7.2,error,,,,,11
h2oai/h2o-3:h2o-docs,error with test,7.2,no test,,,,,11
h2oai/h2o-3:h2o-ext-example,error with test,7.2,error,,,,,11
h2oai/h2o-3:h2o-ext-jython-cfunc,error with test,7.2,error,,,,,11
